没戏	没辙	0
只管	尽管	0
GDP	生产力	0.049046874046325684
包袱	段子	0.21773651242256165
由此	通过	0.08867666870355606
日期	时间	0.2053157240152359
爱面子	好高骛远	0
严厉	严谨	0.01944355107843876
一方面	一边	-0.08844196796417236
托福	GRE	0
亏	幸亏	0.18272003531455994
蹩脚	差强人意	0
容易	顺利	-0.01611160673201084
悲喜	大悲大喜	0
老气	土气	0
狭隘	狭窄	0.14294831454753876
抄袭	克隆	0.06882651895284653
害臊	腼腆	0
幻境	红楼梦	0
依稀	清晰	-0.08146048337221146
权限	权力	0.18110007047653198
伟大	壮烈	0.03392019867897034
娇艳	幽美	0.0001698492851573974
理解	理会	0.13002093136310577
酣睡	打鼾	0
自然	环境	0.05857919156551361
振兴	建设	0.10406085103750229
节日	假日	0.11069678515195847
的哥	司机	0.3050059378147125
几乎	差点儿	0.07498233765363693
江湖	红尘	0
路子	后门	0.16414855420589447
牛脾气	我行我素	0
物品	物质	-0.033177152276039124
塞车	拥挤	0
面	首	0.0931088924407959
冷僻	晦涩	0
免费	便宜	0.11559038609266281
发票	账单	0.10106579214334488
回收站	垃圾篓	0
典型	代表	0.12779006361961365
必须	必需	0.13836009800434113
出神	发楞	0
琢磨	镂刻	0
身姿	身手	0
质量	重量	0.3487464189529419
事变	后院起火	0.2290111482143402
大小	多少	0.15414078533649445
信物	证件	0.20993641018867493
牺牲	粉身碎骨	0
豆蔻年华	黄金时代	0
血液	红细胞	0.17236793041229248
硅谷	中关村	0
天赋	技能	-0.10088400542736053
酷	爽	0.38650375604629517
旅客	驴友	0.1520942598581314
隆重	重要	0.09513238817453384
候选人	备胎	-0.06967960298061371
平凡	平庸	0
了不得	好	0
鸣谢	酬答	0
线路	行程	0.07136917114257812
多角度	多元化	0.11395971477031708
要面子	虚荣心	0
许可证	执照	0.139684796333313
是非	方圆	0.037702590227127075
崛起	凸起	0
工作日	开放日	0.19905054569244385
大	高	0.16512224078178406
吸引力	地磁力	0
右翼	左派	0.2822688817977905
和谐	平安	0.24449560046195984
商标	符号	0.2446437031030655
违纪	贪污	0.3734837472438812
环境	生态	0.1865287572145462
实践	进行	0.17436718940734863
买卖	营销	0.0035753792617470026
合理	合理性	0.2624683678150177
辛勤	夜以继日	0.09188646823167801
手续	过程	0.02564738132059574
渣	废品	0
高峰	山巅	0
收费	缴纳	0.12429390847682953
享受	大快朵颐	0.001187852001748979
怯懦	胆小鬼	0
杂事	闲事	0
言语	语言	0.27063190937042236
借口	理由	0.02935865707695484
与	以及	-0.007589065469801426
怯弱	狗熊	0
