没戏	没辙	0.0000	0.0000
只管	尽管	0.0000	0.0000
GDP	生产力	0.1250	0.0490
包袱	段子	0.1744	0.2177
由此	通过	-0.0571	0.0887
日期	时间	0.1518	0.2053
爱面子	好高骛远	0.0000	0.0000
严厉	严谨	-0.1403	0.0194
一方面	一边	0.0868	-0.0884
托福	GRE	0.0000	0.0000
亏	幸亏	-0.1130	0.1827
蹩脚	差强人意	0.0000	0.0000
容易	顺利	0.1897	-0.0161
悲喜	大悲大喜	0.0000	0.0000
老气	土气	0.0000	0.0000
狭隘	狭窄	-0.0168	0.1429
抄袭	克隆	0.1779	0.0688
害臊	腼腆	0.0000	0.0000
幻境	红楼梦	0.0000	0.0000
依稀	清晰	-0.0342	-0.0815
权限	权力	0.2518	0.1811
伟大	壮烈	0.0424	0.0339
娇艳	幽美	0.0331	0.0002
理解	理会	0.2045	0.1300
酣睡	打鼾	0.0000	0.0000
自然	环境	-0.0581	0.0586
振兴	建设	-0.0504	0.1041
节日	假日	0.0344	0.1107
的哥	司机	0.2664	0.3050
几乎	差点儿	-0.0345	0.0750
江湖	红尘	0.0000	0.0000
路子	后门	-0.2033	0.1641
牛脾气	我行我素	0.0000	0.0000
物品	物质	0.0690	-0.0332
塞车	拥挤	0.0000	0.0000
面	首	-0.1085	0.0931
冷僻	晦涩	0.0000	0.0000
免费	便宜	-0.1104	0.1156
发票	账单	-0.1069	0.1011
回收站	垃圾篓	0.0000	0.0000
典型	代表	-0.0591	0.1278
必须	必需	0.1912	0.1384
出神	发楞	0.0000	0.0000
琢磨	镂刻	0.0000	0.0000
身姿	身手	0.0000	0.0000
质量	重量	-0.0512	0.3487
事变	后院起火	-0.0681	0.2290
大小	多少	0.2535	0.1541
信物	证件	-0.3184	0.2099
牺牲	粉身碎骨	0.0000	0.0000
豆蔻年华	黄金时代	0.0000	0.0000
血液	红细胞	0.0892	0.1724
硅谷	中关村	0.0000	0.0000
天赋	技能	0.1561	-0.1009
酷	爽	-0.1207	0.3865
旅客	驴友	0.1177	0.1521
隆重	重要	0.0344	0.0951
候选人	备胎	-0.0470	-0.0697
平凡	平庸	0.0000	0.0000
了不得	好	0.0000	0.0000
鸣谢	酬答	0.0000	0.0000
线路	行程	0.1142	0.0714
多角度	多元化	0.0079	0.1140
要面子	虚荣心	0.0000	0.0000
许可证	执照	0.3393	0.1397
是非	方圆	0.1197	0.0377
崛起	凸起	0.0000	0.0000
工作日	开放日	0.2951	0.1991
大	高	0.2318	0.1651
吸引力	地磁力	0.0000	0.0000
右翼	左派	0.1857	0.2823
和谐	平安	0.1259	0.2445
商标	符号	0.1137	0.2446
违纪	贪污	0.5825	0.3735
环境	生态	0.5309	0.1865
实践	进行	0.0509	0.1744
买卖	营销	-0.0287	0.0036
合理	合理性	0.1551	0.2625
辛勤	夜以继日	0.0550	0.0919
手续	过程	0.0145	0.0256
渣	废品	0.0000	0.0000
高峰	山巅	0.0000	0.0000
收费	缴纳	0.2868	0.1243
享受	大快朵颐	-0.0691	0.0012
怯懦	胆小鬼	0.0000	0.0000
杂事	闲事	0.0000	0.0000
言语	语言	-0.0465	0.2706
借口	理由	0.3020	0.0294
与	以及	0.0218	-0.0076
怯弱	狗熊	0.0000	0.0000
惠顾	照顾	0.0000	0.0000
迷人	气质	0.1481	0.1434
果粉	米粉	0.0380	0.2467
榜样	样子	0.3169	-0.1449
愚钝	大智若愚	0.0000	0.0000
打假	扫黄	0.0000	0.0000
均衡	全面	0.0195	0.3664
制约	收敛	-0.0633	0.1949
经营者	纳税人	0.2324	0.1982
瘦弱	苗条	-0.0210	0.1680
前途	道路	0.0136	0.0163
遛弯	走路	-0.0631	0.1212
爱心	慈善	0.0937	-0.0098
光盘	硬盘	0.0000	0.0000
一体化	集成化	0.0000	0.0000
销魂	陶醉	-0.0518	0.3849
光荣	流芳百世	0.0000	0.0000
观后感	影评	0.0000	0.0000
恼怒	愤慨	0.1010	0.1295
帮助	赞助	0.2135	0.0016
拥戴	崇拜	0.0000	0.0000
扯淡	闲聊	0.0000	0.0000
旅程	旅行	-0.0822	-0.0166
